ID, IAU Identifier, Catalog Coordinate  Ra, Catalog Coordinate  Dec, mag r-band  Petrosian, mag r-band  Auto, Redshift (Heliocentric), Redshift (Flow Corrected), Absolute Mag r-band  Auto, r-band Effective Radius, Surface Brightness (1R_e_AVG), Surface Brightness (1R_e), Surface Brightness (2R_e), Ellipticity  r-band, Position Angle  r-band, Stellar Mass, Colour Auto g-i, Galactic extinction  g-band, Priority Class, Bad Class
100192,J122342.63+005743.8,185.92766,0.96219,16.089,16.059,0.02409,0.02541,-19.17,5.66,21.83,22.66,24.4,0.08,127.35,9.33,0.55,0.109,8,0
105962,J141635.48+005311.8,214.14784,0.88664,16.87,16.83,0.02555,0.02643,-18.47,6.02,22.38,23.08,24.9,0.3627,143.07001,8.96,0.46,0.144,8,0
106016,J141740.37+005512.5,214.41821,0.92016,16.723,16.731,0.05351,0.05439,-20.25,1.94,19.1,20.51,22.09,0.6262,149.38,10.23,1.2,0.147,8,0
106042,J141814.91+005327.9,214.56214,0.89109,14.087,14.12,0.02597,0.02683,-21.23,13.74,21.37,22.42,24.07,0.2003,21.58,10.14,0.54,0.147,8,0
106047,J141816.72+005910.5,214.5697,0.98625,16.635,16.649,0.05336,0.05424,-20.33,2.03,19.55,20.64,22.28,0.4688,120.28,10.14,1.04,0.151,8,0
106049,J141821.63+005658.5,214.59013,0.94959,17.6,17.653,0.02614,0.027,-17.72,3.43,21.55,22.25,24.07,0.5555,120.46,8.76,0.57,0.147,8,0
106065,J141803.22+005833.4,214.51342,0.97595,18.244,18.179,0.02545,0.02632,-17.1,3.91,21.88,22.48,24.4,0.7071,42.07,8.34,0.36,0.155,8,0
106331,J142203.16+005143.3,215.5132,0.86205,16.135,16.057,0.03599,0.03684,-19.99,7.04,21.83,22.65,24.39,0.4376,60.68,9.61,0.51,0.116,8,0
106343,J142232.01+005044.0,215.6334,0.84558,17.72,17.691,0.04007,0.04092,-18.61,2.47,21.74,22.41,24.26,0.0257,119.99,9.12,0.59,0.105,8,0
106376,J142314.68+005842.0,215.81121,0.97834,14.935,14.841,0.0401,0.04095,-21.46,8.51,21.41,22.15,23.94,0.1453,153.7,10.27,0.59,0.113,8,0
106389,J142336.25+010027.3,215.90105,1.0076,16.126,16.147,0.04009,0.04094,-20.19,5.95,20.42,21.24,22.98,0.7866,153.67,10.2,1.15,0.114,8,0
106507,J142538.03+010045.6,216.40846,1.01267,16.176,16.187,0.05474,0.05559,-20.83,5.94,20.77,21.25,23.33,0.7226,118.82,10.22,0.88,0.118,8,0
106549,J142612.98+005138.0,216.55409,0.86058,14.866,14.827,0.03186,0.03269,-20.98,3.14,19.26,20.42,22.04,0.0423,174.33,10.27,0.84,0.114,8,0
106616,J142653.07+005746.3,216.72112,0.96286,15.485,15.482,0.02618,0.027,-19.88,7.29,20.37,21.21,22.94,0.7409,0.32,9.66,0.61,0.117,8,0
106634,J142715.09+005551.8,216.81291,0.93106,16.916,16.918,0.05229,0.05313,-20.03,2.62,20.02,20.63,22.53,0.633,8.02,10.15,1.19,0.113,8,0
106638,J142720.36+010133.1,216.83485,1.02586,13.356,13.094,0.02569,0.02651,-22.25,22.53,21.26,22.45,24.06,0.4917,80.07,10.91,0.99,0.113,8,0
106717,J142804.53+010022.7,217.01889,1.00631,14.2,14.19,0.02564,0.02646,-21.12,5.23,19.54,20.15,22.06,0.2961,23.35,10.19,0.65,0.118,8,0
136602,J114329.33-014004.6,175.87225,-1.66796,13.784,13.635,0.04461,0.04588,-22.96,8.17,20.24,21.55,23.14,0.2395,80.72,11.37,1.25,0.071,8,0
136672,J114308.95-013816.2,175.7873,-1.63784,17.913,17.913,0.04306,0.04433,-18.55,5.78,22.37,23.07,24.89,0.6896,39.79,9.16,0.69,0.065,8,0
136842,J114509.89-014545.3,176.29123,-1.7626,14.137,13.908,0.02709,0.02834,-21.59,6.08,19.78,21.06,22.66,0.1898,96.58,10.8,1.19,0.063,8,0
136856,J114453.14-013909.2,176.22144,-1.65257,17.886,17.895,0.02597,0.02725,-17.49,3.48,21.73,22.47,24.26,0.5694,145.5,9.03,1.03,0.069,8,0
136917,J114525.42-014415.5,176.35594,-1.73764,17.199,17.228,0.02855,0.0298,-18.34,2.95,21.09,21.8,23.61,0.4178,107.19,9.11,0.69,0.061,8,0
136980,J114608.59-014936.5,176.53583,-1.82683,17.864,18.052,0.02704,0.02829,-17.37,6.79,23.6,24.52,26.21,0.4369,16.41,8.63,0.57,0.066,8,0
137037,J114720.99-014210.0,176.83746,-1.70279,15.556,15.655,0.09231,0.09363,-22.62,4.81,20.64,22.12,23.69,0.218,60.92,11.24,1.35,0.075,8,0
